HighCarbIm_Fm1,CarbCountingInsulinIm_Fm1,VeryLowCarbIm_Fm1,LowCarbIm_Fm1,NormalCarbIm_Fm1,SlidingScaleInsulinIm_Fm1,
0.0,0.0,0.0,0.0,0.0,0.0,
78.21904544732196,92.46176391501487,99.53972637556882,96.45361911306173,91.48552533414346,92.46176391501487,
156.6175435017996,184.65186831371454,199.12885991255013,194.334279706374,183.52434273183022,184.65186831371454,
233.7731647553082,276.61200173396793,298.3278229637889,290.70436352905676,274.2848287889233,276.61200173396793,
308.9751388733108,368.3879486688919,396.7119195321141,383.2923197384614,362.73193521526423,368.3879486688919,
385.25520357818004,460.0254624149159,495.57368328821417,479.180019823391,452.7695115515163,460.0254624149159,
459.8467137084899,551.5661072909712,593.6595574842197,571.4160506995269,540.7059231708098,551.5661072909712,
534.3397423583585,643.0441819357059,691.6955633975597,663.7260967313359,628.5913546127707,643.0441819357059,
610.6918185588356,734.4859030636547,790.5868526981343,760.594879815596,718.9637878333942,734.4859030636547,
687.187670464032,825.9100058988618,889.536155343806,857.8157881547008,809.5416746385317,825.9100058988618,
761.716660091063,917.3290159049932,987.5904261431461,950.533029787611,897.5516491015768,917.3290159049932,
835.8678590424028,1008.7508284045922,1085.4496902982,1042.2334875114584,985.0503259700014,1008.7508284045922,
911.7038496125635,1100.1801159445401,1184.122633821472,1138.0653906767122,1074.7720208339874,997.2860585450322,
987.9224001752423,1191.6191507669719,1282.9589308031932,1234.6733200978997,1164.9762821522168,985.8212886854723,
1062.9337122286406,1283.0685453079025,1381.2519397702831,1328.464968242642,1253.5898722656796,974.3565188259123,
1137.3779039478597,1382.9497849600732,1479.263039768029,1420.7460670547096,1341.434093200964,962.8917489663523,
1222.8715541546644,1482.8366939836085,1578.0127383408233,1520.0384630469205,1438.1589927879093,951.4269791067924,
1312.918373742432,1582.5522849603676,1670.6026244677578,1617.4501353122694,1537.7262064533766,939.9622092472324,
1399.8612978515177,1682.2926284697742,1768.133937257022,1717.398553644423,1635.5257321084468,928.4974393876724,
1483.6785179046515,1782.1643987275813,1867.7209156464176,1817.1690929507395,1731.6052737351192,917.0326695281125,
1563.6351824473563,1882.137184353488,1967.6285315811676,1914.1879517525103,1824.3710121478268,905.5678996685525,
1643.913421929132,1982.1367447168836,2067.5749154438804,2012.8535174062342,1917.8725282563496,998.2036878775334,
1723.119143486782,2082.1336569053597,2167.354833485454,2109.3933664969845,2010.0228219982646,986.7389180179734,
1802.7022823636523,2182.1264837039976,2267.2052396657723,2206.382066888742,2102.542704023688,975.2741481584135,
1893.8279190842015,2282.1175655164084,2356.9487478922233,2304.832608396391,2202.2863065989623,963.8093782988535,
1987.8497127645037,2382.096874352097,2433.5256535373405,2395.124936976294,2302.104110454277,952.3446084392936,
2078.4275323477073,2482.06991970639,2524.8106683420983,2494.8070192612277,2401.5754650417693,940.8798385797336,
2165.385244616542,2582.0667169664885,2622.3267018454835,2594.7757678355347,2499.5822517164443,1033.3914741146714,
2249.6867725212733,2682.05644842122,2721.725610026622,2694.7667554512973,2596.1623851840327,1126.44360999782,
2331.315798304087,2782.0097290499657,2821.718494664647,2792.9624120975413,2690.320666455159,1219.8728629131294,
2412.058650833002,2881.937506467749,2921.702843838941,2889.6521369507877,2783.4887066898,1313.470489562934,
2495.259922981055,2981.8598514565883,3021.473379546879,2989.6107600000378,2879.4157495160616,1407.0995788638363,
2577.9646304255,3081.7875232570045,3121.3502127543893,3089.333542722983,2974.8483464077353,1500.6978292187573,
2658.8581097172787,3181.7256888896964,3221.342093246504,3186.6878850676285,3068.2980439257276,1594.231505520894,
2740.437973910015,3281.677279251049,3321.3368367457515,3285.527846831983,3162.6545807636703,1687.6732576809948,
2822.2606701125524,3381.643088666795,3421.319593608885,3384.960275568478,3257.413575071992,1676.2084878214348,
2910.564449727524,3481.6213140045384,3517.155346877658,3483.7925779218576,3356.3142461784882,1664.7437179618748,
3000.0091667792094,3581.6193877541414,3611.0299452856616,3581.8236457506164,3455.6747326601835,1653.2789481023149,
3087.380868438603,3681.6188752346534,3708.0919512349883,3681.640579295494,3553.971788478541,1641.814178242755,
3171.6686409956883,3781.616360528294,3807.4967641442536,3781.4960312634007,3650.3677283550755,1630.349408383195,
3252.220427602733,3881.607267745661,3907.4681528178417,3878.1414235006014,3743.4037952065737,1618.884638523635,
3331.676718393516,3981.591672441723,4007.296259672379,3973.792691490993,3835.4764169219015,1712.0151957673202,
3413.298232790893,4081.5744418117056,4107.289446804107,4073.372466342783,3930.1984337854387,1805.1669190605578,
3493.940413759483,4181.55995705599,4207.267436637326,4171.826034764416,4023.8453550886597,1898.2824379819806,
3573.977584610126,4281.550104673499,4307.1856868697805,4269.494249739622,4116.8564494307275,1991.3276376788701,
3655.0809414400824,4381.545009361931,4407.1840107298685,4368.985647818609,4211.223526423732,2084.279212414402,
3734.600364810108,4481.543546493845,4507.023394503334,4466.484829161106,4303.855615704135,2177.1184852221572,
3814.5221440407367,4581.543544841417,4606.926212744155,4565.109014055959,4397.121281206086,2269.831163255075,
3894.481827360446,4681.5420820797935,4706.834238473324,4664.1752208149765,4490.590437439101,2362.406899312701,
3972.353550158029,4781.535796301301,4806.271504202982,4760.007629700292,4581.675267572454,2454.838778972649,
4050.092430715809,4881.5211662660595,4905.667261894973,4856.213792069817,4672.775495785606,2547.1227946668773,
4128.778818184504,4981.49485122908,5005.330458982123,4954.748485398358,4765.231633080586,2639.2586129028705,
4204.731727373147,5081.454849981907,5104.054224957476,5048.106336248216,4854.385589521995,2731.2571724139457,
4280.2173172117145,5181.400727932995,5202.570249745364,5140.888718460211,4943.076509477117,2823.1359589632048,
4357.617954076781,5281.3332864308995,5301.854714756933,5238.4724240631995,5034.368872588334,2914.914615386601,
4434.263803950705,5381.254253595078,5400.863192589458,5334.882466388582,5124.801131123057,3006.613395234726,
4510.711804473199,5481.165887852948,5499.793326682889,5431.131186540867,5215.054199163903,3098.2517171542167,
4585.740230519263,5581.070289267803,5598.094589200491,5524.229636176311,5303.505858965841,3189.845175274334,
