LowCarbIm_GPFm1,LowCarbIm+LAInsulinIm2+FAInsulinIm2_GPFm1,NormalCarbIm_GPFm1,LowCarbIm+LAInsulinIm1+FAInsulinIm2_GPFm1,LowCarbIm+LAInsulinIm2+FAInsulinIm1_GPFm1,LowCarbIm+LAInsulinIm1+FAInsulinIm1_GPFm1,VeryLowCarbIm+LAInsulinIm2+FAInsulinIm1_GPFm1,VeryLowCarbIm+LAInsulinIm1+FAInsulinIm2_GPFm1,NormalCarbIm+LAInsulinIm1+FAInsulinIm1_GPFm1,HighCarbIm+LAInsulinIm1+FAInsulinIm2_GPFm1,FAInsulinIm1_GPFm1,VeryLowCarbIm+LAInsulinIm2+FAInsulinIm2_GPFm1,NormalCarbIm+LAInsulinIm2+FAInsulinIm1_GPFm1,HighCarbIm+LAInsulinIm2+FAInsulinIm2_GPFm1,HighCarbIm_GPFm1,LAInsulinIm1_GPFm1,LAInsulinIm2_GPFm1,NormalCarbIm+LAInsulinIm2+FAInsulinIm2_GPFm1,FAInsulinIm2_GPFm1,VeryLowCarbIm+LAInsulinIm1+FAInsulinIm1_GPFm1,VeryLowCarbIm_GPFm1,NormalCarbIm+LAInsulinIm1+FAInsulinIm2_GPFm1,HighCarbIm+LAInsulinIm1+FAInsulinIm1_GPFm1,HighCarbIm+LAInsulinIm2+FAInsulinIm1_GPFm1,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
4859.553129559868,4859.553129559868,4859.553129559868,4859.553129559868,4859.553129559868,4859.553129559868,4859.553129559868,4859.553129559868,4859.553129559868,4859.553129559868,4859.553129559868,4859.553129559868,4859.553129559868,4859.553129559868,4859.553129559868,4859.553129559868,4859.553129559868,4859.553129559868,4859.553129559868,4859.553129559868,4859.553129559868,4859.553129559868,4859.553129559868,4859.553129559868,
5444.95890365686,5551.06143371186,4872.0224107568265,5546.121629422475,5556.2672489235465,5552.168935843285,5556.2672489235465,5546.121629422475,4883.619054378305,4934.780225741174,5436.746721898662,5551.06143371186,4923.762151265057,26977.53572399627,4882.222892945762,4864.832839030467,6378.904363211192,4921.388189253116,4859.794054102589,5552.168935843285,5444.95890365686,4879.833481855593,4933.061750872261,4878.937040804974,
7167.301261843224,7003.209987147149,5116.088820840985,6998.270182857764,6728.814610395528,6724.716297315266,6728.814610395528,6998.270182857764,5107.008553330488,5175.084591317283,6189.471968363729,7003.209987147149,5147.15165021724,27217.84008957238,5057.0377575881685,4970.791890018208,6484.863414198932,5154.107085875282,5538.015854779791,6724.716297315266,7167.301261843224,5112.552378477759,5161.630889594812,5107.506179527525,
7178.484377003487,7063.98918661347,5120.472307236966,7138.781414884518,6785.928770184573,6860.350597335473,6785.928770184573,7138.781414884518,5107.099226718159,5549.820945169394,6244.208109358827,7063.98918661347,5148.7611417312555,27616.367209206066,5387.16027583213,4980.210275372363,6551.90299254117,5155.641102556821,5580.450455675131,6860.350597335473,7178.484377003487,5112.6313920957,5542.11875465464,5499.602794884081,
8762.999531512974,7163.399858193161,7061.776080550138,8300.747679114193,6885.339441764264,8022.316861565148,6885.339441764264,8300.747679114193,6894.533313717574,10155.622836846966,10458.604666997568,7163.399858193161,6448.397561956758,31877.563217958756,9970.787392731076,9466.88666194318,7768.329972919156,6455.277522782324,9794.847013313873,8022.316861565148,8762.999531512974,6900.065479095115,10147.920646332212,9760.79880363677,
8847.085838315308,7321.523037524092,7076.257727133457,9283.718091961606,7043.462621095195,9005.287274412562,7043.462621095195,9283.718091961606,6995.596281138504,10388.467154590035,10458.701932335176,7321.523037524092,6482.287700387957,32101.471298049997,10174.276226133352,10244.1867966331,7861.321818941169,6489.1676612135225,9794.944278651481,9005.287274412562,8847.085838315308,7001.128446516045,10380.76496407528,9984.70688372801,
9049.824239313446,7522.891518927002,7077.468319106346,9485.086573364515,7171.097776169891,9132.922429487258,7171.097776169891,9485.086573364515,6996.9486673732345,10569.127529100871,10599.890939694675,7522.891518927002,6483.640086622687,32282.131672560834,10371.569432160073,10386.772673543672,8003.907695851741,6489.622620027519,9992.558360160585,9132.922429487258,9049.824239313446,7001.583405330041,10579.261777439997,10183.203697092726,
9132.913796819192,7561.46908633802,7299.432096513174,9492.345492372147,7209.67534358091,9140.18134849489,7209.67534358091,9492.345492372147,7151.13440972989,10730.176104899032,10679.195112400164,7561.46908633802,6673.911421292238,32442.80064273098,10556.060473980282,10448.351139449942,8130.254122762672,6679.89395469707,10071.862532866075,9140.18134849489,9132.913796819192,7155.769147686697,10740.310353238157,10343.87266726287,
10296.319887796442,7642.00189204251,9582.598406660949,10795.805988188167,7290.2081492853995,10443.64184431091,7290.2081492853995,10795.805988188167,9396.611201124339,15690.20011289788,15341.4133799544,7642.00189204251,8307.035065506829,37463.00329071426,15480.955082076889,15215.81830845241,8217.380113841526,8313.01759891166,14734.08080042031,10443.64184431091,10296.319887796442,9401.245939081145,15700.334361237008,15364.075315246151,
10483.343904343574,7832.152600061903,9590.779766797641,11531.923738316245,7480.358857304793,11179.759594438989,7480.358857304793,11531.923738316245,9448.561091495892,15969.148568447388,15434.864334260386,7832.152600061903,8318.454020169938,37802.91374780684,15810.665906546677,15765.912457759152,8292.751269781274,8324.43655357477,14827.531754726297,11179.759594438989,10483.343904343574,9453.1958294527,15979.282816786515,15703.98577233873,
10651.938212902041,8001.213931651392,9595.598831168383,11700.985069905735,7605.8144589662925,11305.21519610049,7605.8144589662925,11700.985069905735,9455.381063372513,16178.468912195714,15492.400033357939,8001.213931651392,8325.27399204656,38012.23409155516,16049.751899842471,15818.642640178474,8345.481452200596,8329.321838416383,15020.054950385784,11305.21519610049,10651.938212902041,9458.081114294313,16200.518282369616,15925.22123792183,
10654.999254261093,8010.92893760401,9681.055733770994,11763.07834555535,7615.52946491891,11367.308471750104,7615.52946491891,11763.07834555535,9496.493587818404,16460.529806573875,15586.494746258062,8010.92893760401,8392.206060098308,38313.11989374424,16353.957874307249,15819.651424604803,8439.740742058135,8396.253906468131,15114.149663285907,11367.308471750104,10654.999254261093,9499.193638740204,16482.57917674778,16226.107040110908,
12516.427195756236,9044.236869166,12561.417718406745,13576.511303662879,8648.8373964809,13180.741429857633,8648.8373964809,13576.511303662879,12397.117875194235,21514.158853923,15934.376306424452,9044.236869166,10796.693378762102,43194.05545954632,21250.08238436208,20584.36054060101,8835.568293054019,10800.741225131926,15462.031223452297,13180.741429857633,12516.427195756236,12399.817926116033,21536.208224096903,21107.042605912986,
12704.072817622868,9216.43540473265,12576.626176071772,14515.953612690068,8821.03593204755,14120.183738884822,8821.03593204755,14515.953612690068,12478.666757317429,21808.831843421154,15999.390130568006,9216.43540473265,10817.631989097687,43583.82476275818,21637.80282976251,21259.597212732875,8893.545916652718,10821.67983546751,15527.045047595851,14120.183738884822,12704.072817622868,12481.366808239227,21830.881213595057,21496.811909124845,
13038.56299248924,9469.329719584619,12577.562547004001,14768.847927542036,8968.83884423061,14267.98665106788,8968.83884423061,14768.847927542036,12479.002189939725,21980.33101268443,16040.678207664056,9469.329719584619,10817.967421719983,43755.323932021456,21818.00341320266,21300.858022520475,8934.806726440318,10823.051251883933,15720.01172333675,14267.98665106788,13038.56299248924,12482.73822465565,22029.897782893713,21695.8284784235,
13039.121969082553,9474.202231441122,12674.085772773666,14814.42853318623,8973.711356087113,14313.567256712075,8973.711356087113,14814.42853318623,12529.111326692717,22259.503542937022,16137.271138349111,9474.202231441122,10895.162476733809,44052.454156897176,22119.21397848298,21302.15774983844,9031.377063569475,10900.24630689776,15816.604654021805,14313.567256712075,13039.121969082553,12532.847361408642,22309.070313146305,21992.958703299217,
14036.855083049402,9482.688768737295,14878.079670756972,16154.537333986542,8982.197893383285,15653.676057512386,8982.197893383285,16154.537333986542,14698.86760809714,27131.290885860068,16517.733292722965,9482.688768737295,12386.856842164763,49110.16441087688,26973.075076505025,26067.031227358995,9429.802116292649,12391.940672328714,16197.066808395659,15653.676057512386,14036.855083049402,14702.603642813065,27180.85765606935,27050.668957278926,
14184.038710697612,9643.743188558203,14879.794818888682,16707.8002126049,9143.252313204193,16206.938936130744,9143.252313204193,16707.8002126049,14727.156586981466,27422.898510688294,16598.648769104788,9643.743188558203,12390.057166580913,49457.87935827879,27309.715411825386,26747.72346810774,9506.526204468093,12395.140996744864,16277.982284777483,16206.938936130744,14184.038710697612,14730.89262169739,27472.465280897577,27398.38390468083,
14550.438161606293,9894.555387779235,14882.319458496686,16958.612411825932,9272.302972635107,16335.989595561658,9272.302972635107,16958.612411825932,14728.595831333447,27586.689217967345,16639.80577778371,9894.555387779235,12391.496410932894,49621.670065557846,27478.155216736057,26788.86300315719,9547.665739517543,12398.514766934384,16469.557508606107,16335.989595561658,14550.438161606293,14734.266391886911,27668.898033615154,27594.81665739841,
14605.290339809386,9931.772179984138,15073.510555114735,16973.667458933964,9309.51976484001,16351.04464266969,9309.51976484001,16973.667458933964,14875.614543575464,27853.46579574506,16736.490568520836,9931.772179984138,12565.834877828902,49895.435134487234,27765.886919222045,26790.225285119275,9644.341453503976,12572.853233830392,16566.242299343234,16351.04464266969,14605.290339809386,14881.285104128929,27935.67461139287,27868.5817263278,
15878.831379642315,10188.331005112295,17549.36501048214,18282.47650513552,9566.078589968167,17659.853688871248,9566.078589968167,18282.47650513552,17336.351099702904,32936.682249753576,17124.45325935706,10188.331005112295,14422.509981725514,54923.079431633465,32772.46203551473,31555.103778237317,10043.374962321583,14429.528337727003,16954.204990179456,17659.853688871248,15878.831379642315,17342.021660256367,33018.89106540139,32896.22602347403,
