G,I,GI,II
141.3266,59.8753,0.0000,0.0000
141.3266,59.8454,0.0000,0.0000
141.3636,71.0089,0.0000,0.0000
141.4156,67.2236,0.0000,0.0000
141.4729,66.7953,0.0000,0.0000
141.5313,64.5810,0.0000,0.0000
141.5888,63.6424,0.0000,0.0000
141.6447,62.7046,0.0000,0.0000
141.6989,62.2173,0.0000,0.0000
141.7512,61.8423,0.0000,0.0000
141.8020,61.6217,0.0000,0.0000
141.8512,61.4617,0.0000,0.0000
141.8991,61.3561,0.0000,0.0000
141.9458,61.2777,0.0000,0.0000
141.9915,61.2205,0.0000,0.0000
142.0362,61.1762,0.0000,0.0000
142.0800,61.1419,0.0000,0.0000
142.1232,61.1147,0.0000,0.0000
142.1656,61.0933,0.0000,0.0000
142.2075,61.0766,0.0000,0.0000
142.2488,61.0639,0.0000,0.0000
142.2897,61.0546,0.0000,0.0000
142.3302,61.0483,0.0000,0.0000
142.3703,61.0447,0.0000,0.0000
142.4101,61.0434,0.0000,0.0000
142.4495,61.0442,0.0000,0.0000
142.4887,61.0468,0.0000,0.0000
142.5276,61.0512,0.0000,0.0000
142.5663,61.0570,0.0000,0.0000
142.6048,61.0642,0.0000,0.0000
142.6431,61.0727,0.0000,0.0000
142.6812,61.0822,0.0000,0.0000
142.7191,61.0927,0.0000,0.0000
142.7568,61.1041,0.0000,0.0000
142.7944,61.1163,0.0000,0.0000
142.8318,61.1293,0.0000,0.0000
142.8690,61.1430,0.0000,0.0000
142.9061,61.1573,0.0000,0.0000
142.9430,61.1722,0.0000,0.0000
142.9798,61.1876,0.0000,0.0000
143.0164,61.2034,0.0000,0.0000
143.0528,61.2198,0.0000,0.0000
143.0891,61.2365,0.0000,0.0000
143.1253,61.2537,0.0000,0.0000
143.1612,61.2712,0.0000,0.0000
143.1971,61.2891,0.0000,0.0000
143.2327,61.3073,0.0000,0.0000
143.2682,61.3259,0.0000,0.0000
143.3036,61.3447,0.0000,0.0000
143.3387,61.3638,0.0000,0.0000
143.3737,61.3832,0.0000,0.0000
143.4086,61.4029,0.0000,0.0000
143.4432,61.4228,0.0000,0.0000
143.4777,61.4429,0.0000,0.0000
143.5120,61.4633,0.0000,0.0000
143.5461,61.4839,0.0000,0.0000
143.5801,61.5048,0.0000,0.0000
143.6138,61.5259,0.0000,0.0000
143.6474,61.5471,0.0000,0.0000
143.6808,61.5686,0.0000,0.0000
143.7140,61.5903,0.0000,0.0000
143.7470,61.6121,0.0000,0.0000
143.7798,61.6342,0.0000,0.0000
143.8125,61.6565,0.0000,0.0000
143.8449,61.6789,0.0000,0.0000
143.8771,61.7015,0.0000,0.0000
143.9092,61.7243,0.0000,0.0000
143.9410,61.7472,0.0000,0.0000
143.9726,61.7703,0.0000,0.0000
144.0041,61.7936,0.0000,0.0000
144.0353,61.8170,0.0000,0.0000
144.0663,61.8406,0.0000,0.0000
144.0972,61.8643,0.0000,0.0000
144.1278,61.8882,0.0000,0.0000
144.1582,61.9122,0.0000,0.0000
144.1884,61.9363,0.0000,0.0000
144.2184,61.9606,0.0000,0.0000
144.2482,61.9850,0.0000,0.0000
144.2777,62.0095,0.0000,0.0000
144.3071,62.0342,0.0000,0.0000
144.3363,62.0590,0.0000,0.0000
144.3652,62.0838,0.0000,0.0000
144.3939,62.1088,0.0000,0.0000
144.4225,62.1339,0.0000,0.0000
144.4508,62.1591,0.0000,0.0000
144.4789,62.1844,0.0000,0.0000
144.5067,62.2098,0.0000,0.0000
144.5344,62.2353,0.0000,0.0000
144.5619,62.2608,0.0000,0.0000
144.5891,62.2865,0.0000,0.0000
144.6161,62.3122,0.0000,0.0000
144.6429,62.3380,0.0000,0.0000
144.6695,62.3639,0.0000,0.0000
144.6959,62.3898,0.0000,0.0000
144.7221,62.4158,0.0000,0.0000
144.7480,62.4419,0.0000,0.0000
144.7737,62.4680,0.0000,0.0000
144.7993,62.4942,0.0000,0.0000
144.8246,62.5204,0.0000,0.0000
144.8496,62.5466,0.0000,0.0000
144.8745,62.5729,0.0000,0.0000
144.8992,62.5993,0.0000,0.0000
144.9236,62.6257,0.0000,0.0000
144.9478,62.6521,0.0000,0.0000
144.9719,62.6785,0.0000,0.0000
144.9957,62.7050,0.0000,0.0000
145.0192,62.7315,0.0000,0.0000
145.0426,62.7580,0.0000,0.0000
145.0658,62.7845,0.0000,0.0000
145.0887,62.8110,0.0000,0.0000
145.1114,62.8375,0.0000,0.0000
145.1339,62.8641,0.0000,0.0000
145.1563,62.8906,0.0000,0.0000
145.1783,62.9172,0.0000,0.0000
145.2002,62.9437,0.0000,0.0000
145.2219,62.9703,0.0000,0.0000
145.2433,62.9968,0.0000,0.0000
145.2646,63.0233,0.0000,0.0000
145.2856,63.0498,0.0000,0.0000
145.3064,63.0763,0.0000,0.0000
145.3270,63.1027,0.0000,0.0000
145.3474,63.1292,0.0000,0.0000
145.3676,63.1556,0.0000,0.0000
145.3876,63.1820,0.0000,0.0000
145.4074,63.2083,0.0000,0.0000
145.4270,63.2346,0.0000,0.0000
145.4463,63.2609,0.0000,0.0000
145.4655,63.2871,0.0000,0.0000
145.4844,63.3133,0.0000,0.0000
145.5032,63.3395,0.0000,0.0000
145.5217,63.3656,0.0000,0.0000
145.5401,63.3916,0.0000,0.0000
145.5582,63.4176,0.0000,0.0000
145.5761,63.4436,0.0000,0.0000
145.5939,63.4695,0.0000,0.0000
145.6114,63.4953,0.0000,0.0000
145.6287,63.5211,0.0000,0.0000
145.6458,63.5468,0.0000,0.0000
145.6628,63.5724,0.0000,0.0000
145.6795,63.5980,0.0000,0.0000
145.6960,63.6235,0.0000,0.0000
145.7123,63.6489,0.0000,0.0000
145.7285,63.6743,0.0000,0.0000
145.7444,63.6996,0.0000,0.0000
145.7601,63.7248,0.0000,0.0000
145.7757,63.7499,0.0000,0.0000
145.7910,63.7750,0.0000,0.0000
145.8062,63.7999,0.0000,0.0000
